# step E_mixed E_primitive r
274 -0.500000 -191.873792 0.010352
275 -0.500000 -191.945989 0.010355
276 -0.500000 -192.002127 0.010335
277 -0.500000 -192.056411 0.010314
278 -0.500000 -192.100585 0.010289
279 -0.500000 -192.230113 0.010303
280 -0.500000 -192.316375 0.010296
281 -0.500000 -192.401330 0.010285
282 -0.500000 -192.439692 0.010256
283 -0.500000 -192.542748 0.010225
284 -0.500000 -192.708218 0.010241
285 -0.500000 -192.899835 0.010248
286 -0.500000 -192.922655 0.010253
287 -0.500000 -193.375193 0.010274
288 -0.500000 -193.397784 0.010261
289 -0.500000 -193.487693 0.010254
290 -0.500000 -193.597889 0.010227
291 -0.500000 -193.691306 0.010215
292 -0.500000 -193.758713 0.010228
293 -0.500000 -193.811429 0.010213
294 -0.500000 -193.929010 0.010217
295 -0.500000 -194.017961 0.010247
296 -0.500000 -194.194622 0.010250
297 -0.500000 -194.241403 0.010273
298 -0.500000 -194.347098 0.010255
299 -0.500000 -194.443777 0.010278
300 -0.500000 -194.513290 0.010287
301 -0.500000 -194.581299 0.010262
302 -0.500000 -194.656181 0.010275
303 -0.500000 -194.682054 0.010284
304 -0.500000 -194.742860 0.010264
305 -0.500000 -194.894367 0.010283
306 -0.500000 -194.986527 0.010291
307 -0.500000 -195.031048 0.010280
308 -0.500000 -195.103072 0.010315
309 -0.500000 -195.210337 0.010304
310 -0.500000 -195.360983 0.010278
311 -0.500000 -195.457989 0.010251
312 -0.500000 -195.518547 0.010246
313 -0.500000 -195.589713 0.010245
314 -0.500000 -195.636453 0.010272
315 -0.500000 -195.718058 0.010243
316 -0.500000 -195.828329 0.010206
317 -0.500000 -195.966638 0.010222
318 -0.500000 -196.056537 0.010208
319 -0.500000 -196.062605 0.010203
320 -0.500000 -196.347135 0.010180
321 -0.500000 -196.392429 0.010206
322 -0.500000 -196.478404 0.010180
323 -0.500000 -196.515859 0.010175
324 -0.500000 -196.597481 0.010173
325 -0.500000 -196.650029 0.010157
326 -0.500000 -196.804498 0.010156
327 -0.500000 -196.849142 0.010151
328 -0.500000 -196.852417 0.010111
329 -0.500000 -196.922671 0.010092
330 -0.500000 -197.052277 0.010095
331 -0.500000 -197.108177 0.010088
332 -0.500000 -197.178391 0.010094
333 -0.500000 -197.349363 0.010089
334 -0.500000 -197.442846 0.010100
335 -0.500000 -197.584261 0.010101
336 -0.500000 -197.695078 0.010093
337 -0.500000 -197.828172 0.010090
338 -0.500000 -197.844564 0.010048
339 -0.500000 -197.896571 0.010046
340 -0.500000 -198.182021 0.010025
341 -0.500000 -198.251245 0.009983
342 -0.500000 -198.394157 0.010012
343 -0.500000 -198.570840 0.009993
344 -0.500000 -198.666595 0.009979
345 -0.500000 -198.824390 0.009946
346 -0.500000 -198.954155 0.009951
347 -0.500000 -198.999199 0.009964
348 -0.500000 -199.030853 0.009988
349 -0.500000 -199.084767 0.009978
350 -0.500000 -199.179781 0.009950
351 -0.500000 -199.250516 0.009985
352 -0.500000 -199.330055 0.009996
353 -0.500000 -199.409125 0.010013
354 -0.500000 -199.629601 0.009985
355 -0.500000 -199.635279 0.009989
356 -0.500000 -199.657130 0.009997
357 -0.500000 -199.708531 0.010002
358 -0.500000 -199.754476 0.010012
359 -0.500000 -199.905638 0.010019
360 -0.500000 -199.933374 0.010008
361 -0.500000 -200.067870 0.009998
362 -0.500000 -200.150928 0.009979
363 -0.500000 -200.275964 0.009975
364 -0.500000 -200.360182 0.009937
365 -0.500000 -200.455749 0.009921
366 -0.500000 -200.480845 0.009911
367 -0.500000 -200.552718 0.009889
368 -0.500000 -200.623799 0.009875
369 -0.500000 -200.773330 0.009877
370 -0.500000 -200.883820 0.009875
371 -0.500000 -200.908907 0.009869
372 -0.500000 -200.942690 0.009832
373 -0.500000 -201.041291 0.009840
374 -0.500000 -201.145294 0.009812
375 -0.500000 -201.207194 0.009819
376 -0.500000 -201.341939 0.009817
377 -0.500000 -201.446955 0.009812
378 -0.500000 -201.508173 0.009787
379 -0.500000 -201.577820 0.009797
380 -0.500000 -201.624315 0.009786
381 -0.500000 -201.698380 0.009768
382 -0.500000 -201.898180 0.009750
383 -0.500000 -201.945207 0.009713
384 -0.500000 -202.148779 0.009712
385 -0.500000 -202.189518 0.009770
386 -0.500000 -202.227764 0.009797
387 -0.500000 -202.316892 0.009799
388 -0.500000 -202.322068 0.009835
389 -0.500000 -202.407319 0.009837
390 -0.500000 -202.476166 0.009861
391 -0.500000 -202.500984 0.009892
392 -0.500000 -202.623134 0.009906
393 -0.500000 -202.697855 0.009911
394 -0.500000 -202.752205 0.009897
395 -0.500000 -202.811526 0.009890
396 -0.500000 -202.918904 0.009917
397 -0.500000 -202.985136 0.009922
398 -0.500000 -203.017651 0.009923
399 -0.500000 -203.036655 0.009893
400 -0.500000 -203.076229 0.009874
401 -0.500000 -203.198558 0.009861
402 -0.500000 -203.328423 0.009865
403 -0.500000 -203.359779 0.009850
404 -0.500000 -203.398151 0.009875
405 -0.500000 -203.413235 0.009863
406 -0.500000 -203.479989 0.009852
407 -0.500000 -203.829556 0.009892
408 -0.500000 -203.868891 0.009882
409 -0.500000 -204.054883 0.009845
410 -0.500000 -204.230924 0.009827
411 -0.500000 -204.282772 0.009837
412 -0.500000 -204.352120 0.009825
413 -0.500000 -204.449386 0.009833
414 -0.500000 -204.515097 0.009820
415 -0.500000 -204.577135 0.009836
416 -0.500000 -204.632022 0.009832
417 -0.500000 -204.661334 0.009859
418 -0.500000 -204.732985 0.009875
419 -0.500000 -204.774462 0.009892
420 -0.500000 -204.925907 0.009892
421 -0.500000 -204.938985 0.009884
422 -0.500000 -204.973742 0.009862
423 -0.500000 -205.061003 0.009858
424 -0.500000 -205.154726 0.009858
425 -0.500000 -205.258840 0.009840
426 -0.500000 -205.323754 0.009848
427 -0.500000 -205.373234 0.009850
428 -0.500000 -205.473869 0.009845
429 -0.500000 -205.521664 0.009824
430 -0.500000 -205.622118 0.009822
431 -0.500000 -205.649471 0.009795
432 -0.500000 -205.774409 0.009769
433 -0.500000 -205.876306 0.009753
434 -0.500000 -205.881791 0.009740
435 -0.500000 -205.929315 0.009764
436 -0.500000 -206.152192 0.009795
437 -0.500000 -206.311406 0.009817
438 -0.500000 -206.425428 0.009797
439 -0.500000 -206.462754 0.009776
440 -0.500000 -206.524174 0.009748
441 -0.500000 -206.576610 0.009770
442 -0.500000 -206.625702 0.009806
443 -0.500000 -206.723254 0.009776
444 -0.500000 -206.807674 0.009766
445 -0.500000 -206.899060 0.009754
446 -0.500000 -207.042920 0.009770
447 -0.500000 -207.083685 0.009798
448 -0.500000 -207.220349 0.009781
449 -0.500000 -207.271201 0.009811
450 -0.500000 -207.434343 0.009805
451 -0.500000 -207.496812 0.009817
452 -0.500000 -207.547529 0.009816
453 -0.500000 -207.635949 0.009814
454 -0.500000 -207.671543 0.009826
455 -0.500000 -207.742027 0.009826
456 -0.500000 -207.804587 0.009810
457 -0.500000 -207.867896 0.009792
458 -0.500000 -207.889960 0.009742
459 -0.500000 -208.051117 0.009746
460 -0.500000 -208.100874 0.009764
461 -0.500000 -208.189960 0.009738
462 -0.500000 -208.325911 0.009697
463 -0.500000 -208.410346 0.009671
464 -0.500000 -208.436698 0.009679
465 -0.500000 -208.491383 0.009647
466 -0.500000 -208.579825 0.009647
467 -0.500000 -208.687479 0.009645
468 -0.500000 -208.813776 0.009640
469 -0.500000 -208.940091 0.009620
470 -0.500000 -208.972391 0.009637
471 -0.500000 -209.009811 0.009647
472 -0.500000 -209.113011 0.009605
473 -0.500000 -209.228448 0.009598
474 -0.500000 -209.279851 0.009618
475 -0.500000 -209.410716 0.009595
476 -0.500000 -209.482942 0.009595
477 -0.500000 -209.623916 0.009638
478 -0.500000 -210.103175 0.009644
479 -0.500000 -210.211120 0.009664
480 -0.500000 -210.244372 0.009659
481 -0.500000 -210.269757 0.009640
482 -0.500000 -210.429566 0.009611
483 -0.500000 -210.510580 0.009589
484 -0.500000 -210.558235 0.009559
485 -0.500000 -210.590590 0.009564
486 -0.500000 -210.626388 0.009566
487 -0.500000 -210.716681 0.009561
488 -0.500000 -210.778860 0.009559
489 -0.500000 -210.940023 0.009567
490 -0.500000 -211.025782 0.009551
491 -0.500000 -211.042614 0.009548
492 -0.500000 -211.102519 0.009556
493 -0.500000 -211.259309 0.009563
494 -0.500000 -211.468604 0.009576
495 -0.500000 -211.512483 0.009553
496 -0.500000 -211.583764 0.009539
497 -0.500000 -211.617526 0.009520
498 -0.500000 -211.735428 0.009503
499 -0.500000 -211.756254 0.009512
500 -0.500000 -211.874388 0.009532
501 -0.500000 -212.128287 0.009532
502 -0.500000 -212.228890 0.009535
503 -0.500000 -212.279524 0.009537
504 -0.500000 -212.331603 0.009566
505 -0.500000 -212.406265 0.009582
506 -0.500000 -212.459967 0.009605
507 -0.500000 -212.499234 0.009612
508 -0.500000 -212.526897 0.009638
509 -0.500000 -212.582513 0.009632
510 -0.500000 -212.694324 0.009605
511 -0.500000 -212.746426 0.009579
512 -0.500000 -212.857468 0.009580
513 -0.500000 -212.930691 0.009587
514 -0.500000 -212.966378 0.009609
515 -0.500000 -213.077933 0.009612
516 -0.500000 -213.203816 0.009586
517 -0.500000 -213.234959 0.009580
518 -0.500000 -213.413242 0.009560
519 -0.500000 -213.475442 0.009537
520 -0.500000 -213.516742 0.009533
521 -0.500000 -213.541052 0.009529
522 -0.500000 -213.585782 0.009541
523 -0.500000 -213.620385 0.009554
524 -0.500000 -213.740256 0.009558
525 -0.500000 -213.892376 0.009550
526 -0.500000 -213.971526 0.009527
527 -0.500000 -214.017981 0.009524
528 -0.500000 -214.018040 0.009544
529 -0.500000 -214.064754 0.009530
530 -0.500000 -214.084530 0.009513
531 -0.500000 -214.153313 0.009534
532 -0.500000 -214.161998 0.009521
533 -0.500000 -214.305273 0.009503
534 -0.500000 -214.324263 0.009503
535 -0.500000 -214.542957 0.009521
536 -0.500000 -214.719478 0.009530
537 -0.500000 -214.776108 0.009558
538 -0.500000 -214.788311 0.009538
539 -0.500000 -214.839678 0.009550
540 -0.500000 -214.873992 0.009580
541 -0.500000 -214.933317 0.009594
542 -0.500000 -214.960049 0.009593
543 -0.500000 -215.029011 0.009585
544 -0.500000 -215.088357 0.009582
545 -0.500000 -215.183354 0.009578
546 -0.500000 -215.283607 0.009560
547 -0.500000 -215.335879 0.009556
548 -0.500000 -215.431899 0.009561
549 -0.500000 -215.498161 0.009574
550 -0.500000 -215.585325 0.009570
551 -0.500000 -215.641628 0.009571
552 -0.500000 -215.745586 0.009554
553 -0.500000 -215.920244 0.009529
554 -0.500000 -215.929631 0.009504
555 -0.500000 -215.937001 0.009496
556 -0.500000 -216.019774 0.009473
557 -0.500000 -216.054481 0.009494
558 -0.500000 -216.109856 0.009471
559 -0.500000 -216.124780 0.009478
560 -0.500000 -216.151799 0.009475
561 -0.500000 -216.192525 0.009489
562 -0.500000 -216.330279 0.009438
563 -0.500000 -216.398655 0.009435
564 -0.500000 -216.545399 0.009434
565 -0.500000 -216.592771 0.009466
566 -0.500000 -216.710944 0.009442
567 -0.500000 -216.756004 0.009426
568 -0.500000 -216.829162 0.009431
569 -0.500000 -216.833040 0.009382
570 -0.500000 -216.861217 0.009381
571 -0.500000 -217.058705 0.009375
572 -0.500000 -217.062055 0.009343
573 -0.500000 -217.157385 0.009341
574 -0.500000 -217.230473 0.009339
575 -0.500000 -217.262626 0.009337
576 -0.500000 -217.375780 0.009361
577 -0.500000 -217.437586 0.009377
578 -0.500000 -217.820022 0.009357
579 -0.500000 -217.896372 0.009364
580 -0.500000 -218.031131 0.009326
581 -0.500000 -218.084672 0.009321
582 -0.500000 -218.094676 0.009312
583 -0.500000 -218.103059 0.009301
584 -0.500000 -218.112754 0.009330
585 -0.500000 -218.167069 0.009321
586 -0.500000 -218.209026 0.009336
587 -0.500000 -218.397964 0.009325
588 -0.500000 -218.435365 0.009320
589 -0.500000 -218.443591 0.009317
590 -0.500000 -218.558281 0.009325
591 -0.500000 -218.590163 0.009318
592 -0.500000 -218.603374 0.009329
593 -0.500000 -218.631943 0.009301
594 -0.500000 -218.669254 0.009311
595 -0.500000 -218.687879 0.009293
596 -0.500000 -218.940233 0.009277
597 -0.500000 -219.241581 0.009263
598 -0.500000 -219.252869 0.009252
599 -0.500000 -219.478924 0.009257
600 -0.500000 -219.638538 0.009253
601 -0.500000 -219.683969 0.009235
602 -0.500000 -219.776864 0.009250
603 -0.500000 -219.847345 0.009258
604 -0.500000 -219.982290 0.009233
605 -0.500000 -220.013368 0.009241
606 -0.500000 -220.056533 0.009242
607 -0.500000 -220.146511 0.009261
608 -0.500000 -220.237404 0.009231
609 -0.500000 -220.330708 0.009245
610 -0.500000 -220.351680 0.009278
611 -0.500000 -220.400469 0.009271
612 -0.500000 -220.477539 0.009259
613 -0.500000 -220.561000 0.009263
614 -0.500000 -220.721621 0.009279
615 -0.500000 -220.757314 0.009267
616 -0.500000 -220.864999 0.009258
617 -0.500000 -220.919535 0.009248
618 -0.500000 -221.025376 0.009240
619 -0.500000 -221.072106 0.009226
620 -0.500000 -221.075361 0.009256
621 -0.500000 -221.236425 0.009262
622 -0.500000 -221.457462 0.009262
623 -0.500000 -221.502634 0.009237
624 -0.500000 -221.533859 0.009252
625 -0.500000 -221.588361 0.009242
626 -0.500000 -221.675164 0.009247
627 -0.500000 -221.761317 0.009248
628 -0.500000 -221.809561 0.009248
629 -0.500000 -221.829474 0.009261
630 -0.500000 -221.950634 0.009282
631 -0.500000 -222.108302 0.009287
632 -0.500000 -222.135113 0.009297
633 -0.500000 -222.156012 0.009341
634 -0.500000 -222.317673 0.009353
635 -0.500000 -222.365097 0.009370
636 -0.500000 -222.455686 0.009374
637 -0.500000 -222.602498 0.009354
638 -0.500000 -222.651798 0.009334
639 -0.500000 -222.934350 0.009311
640 -0.500000 -222.953152 0.009280
641 -0.500000 -223.028754 0.009258
642 -0.500000 -223.069994 0.009235
643 -0.500000 -223.133450 0.009215
644 -0.500000 -223.141996 0.009196
645 -0.500000 -223.187382 0.009194
646 -0.500000 -223.247873 0.009189
647 -0.500000 -223.286145 0.009177
648 -0.500000 -223.346870 0.009169
649 -0.500000 -223.397474 0.009152
650 -0.500000 -223.441790 0.009141
651 -0.500000 -223.462772 0.009141
652 -0.500000 -223.515701 0.009139
653 -0.500000 -223.546784 0.009129
654 -0.500000 -223.637622 0.009122
655 -0.500000 -223.766825 0.009110
656 -0.500000 -224.055184 0.009093
657 -0.500000 -224.254730 0.009140
658 -0.500000 -224.277880 0.009145
659 -0.500000 -224.361686 0.009146
660 -0.500000 -224.413300 0.009160
661 -0.500000 -224.470250 0.009167
662 -0.500000 -224.592034 0.009149
663 -0.500000 -224.602686 0.009136
664 -0.500000 -224.674906 0.009149
665 -0.500000 -224.704901 0.009153
666 -0.500000 -224.743423 0.009133
667 -0.500000 -224.775999 0.009144
668 -0.500000 -224.793852 0.009171
669 -0.500000 -224.855968 0.009154
